Local ID,Member,Period,T0 Primary,T0 Secondary,Duration Primary,Duration Secondary,Depth Primary,Depth Secondary
300987891,Member A,5.54096,2395.3167,2774.8069,10.9,14.5,113,110
60584909,Member A,5.9507,1469.4294,1472.4081,4.2,4.4,77,66
125787704,Member A,6.55927,1500.2603,1510.1174,5.4,5.4,33,15
59453672,Member A,7.512638,2506.6626,2502.9381,2.4,2.3,10,7
78333248,Member A,7.552,2477.2207,2480.9459,6.6,6.7,119,72
370274336,Member A,8.000103,1792.6335,1796.5207,6.4,6.6,54,41
308731030,Member A,8.218602,1601.7077,1622.2646,3,3,25,22
219006972,Member A,8.2325,1689.3449,1710.0519,3.7,3.5,66,12
384735219,Member A,8.36579,1792.0751,1796.3028,6.4,5.5,73,32
244279814,Member A,8.4245,1446.25,,3.9,3.8,11,5
382182610,Member A,8.59283,2040.5593,2044.8799,4.6,5.3,43,26
53158069,Member A,9.11287,1487.3044,1473.6722,5.3,4.7,34,34
417752064,Member A,10.011832,1784.5299,1769.4044,3.6,6.5,74,35
430745185,Member A,10.15856,1756.5793,1743.078,6.1,6.2,64,30
231595025,Member A,10.38964,2246.4447,2230.8234,6,5.3,85,54
91600053,Member A,11.9077,2204.8765,1469.0208,9.5,8.7,175,155
779824,Member A,15.97012,2236.4081,1525.5493,4.5,5.2,37,34
270360534,Member A,33.21789,2408.4263,1990.9303,14,11.5,76,69
20212631,Member B,9.47867,1933.1418,,4.4,,76,
13021681,Member B,11.06509,1445.7904,1443.0958,3.1,3.7,360,170
278465736,Member B,3.9063,1712.5723,,4.7,,135,
442333487,Member B,3.547852,1544.4916,,2.5,,6,
282005870,Member B,1.78913,1685.2414,1684.4396,3.6,3.3,77,39
24700485,Member B,10.67233,1475.6045,,2.6,,74,
444816203,Member B,2.51633,2363.0324,2366.7739,6.4,6.2,80,65
167800999,Member B,9.827184,1545.6531,1550.5699,5.3,5.5,283,265
456737763,Member B,0.94924,2234.4876,,3.8,,40,
